pH,Salinitas,Suhu,Kualitas
7.4,18.8,29,Baik
7.2,18.6,29,Baik
7.5,18.9,29.3,Baik
7.7,19.1,30,Baik
7.1,19.4,29.8,Baik
7.8,19.5,30.2,Baik
7.5,19.2,30.1,Baik
6.91,19,30.5,Buruk
7.3,19.1,30,Baik
7.71,19.2,30.7,Baik
7.72,19.3,30.7,Baik
1.64,17.31,28.8,Buruk
1.38,17.36,28.7,Buruk
1.42,17.45,28.9,Buruk
1.47,17.24,29.2,Buruk
1.42,17.31,29.4,Buruk
0.15,16.57,29.1,Buruk
0.65,18.88,28.7,Buruk
0.97,18.9,28.7,Buruk
1.32,18.81,28.2,Buruk
1.7,18.76,28.6,Buruk
8,18.3,29.3,Baik
8,18.4,29.2,Baik
8,18.6,29.8,Baik
8,18.8,30.3,Baik
8,18.9,29.9,Baik
8,18.9,29.6,Baik
8,18.5,29.8,Baik
8,18.2,29.5,Baik
8,18.3,29.5,Baik
8,18.3,29.7,Baik
3.75,16.94,29.7,Buruk
3.43,15.94,29.1,Buruk
2.9,16.05,29.3,Buruk
2.85,16.19,29.7,Buruk
2.08,17.27,29.5,Buruk
1.73,17.29,29.5,Buruk
1.82,17.03,29.7,Buruk
2.32,17.03,30,Buruk
1.92,17.13,30,Buruk
1.95,17.08,29.3,Buruk
7.8,18.5,29,Baik
7.7,18.5,29,Baik
7.8,18.6,28.8,Baik
8,18.9,29.6,Baik
8,"18,8",29.5,Baik
8,19,29.6,Baik
8,19.1,29.6,Baik
8,18.5,29.5,Baik
8,18.3,29.5,Baik
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
7.8,19.2,28.7,Baik
7.9,19.2,28.6,Baik
7.8,19.2,28.6,Baik
7.8,19.2,28.6,Baik
7.9,18.5,29,Baik
7.7,18.8,28.8,Baik
8,18.8,29,Baik
8,18.5,29.1,Baik
8,"18,5",29.3,Baik
7.9,18.8,28.5,Baik
"7,.9",18.5,29,Baik
0.9,19.48,30.6,Buruk
0.92,19.53,30.5,Buruk
0.91,19.48,30,Buruk
1.24,19.65,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
7.4,19.3,28.9,Baik
7.6,19.3,28.7,Baik
7.4,19.2,29.2,Baik
7.6,19.2,29.1,Baik
7.5,19.6,29.5,Baik
7.8,19.2,28.6,Baik
7.6,19.3,29.4,Baik
7.6,19.2,29.9,Baik
7.7,19.1,29.8,Baik
"7,9",19.2,29.5,Baik
2.33,18.57,29.3,Buruk
2.99,18.92,29.5,Buruk
2.49,19.09,29.8,Buruk
2.08,19.04,29.4,Buruk
2.01,19.13,29.5,Buruk
2.05,19.16,30.1,Buruk
2.03,18.76,29.8,Buruk
1.65,19.02,30.2,Buruk
1.34,19.04,30,Buruk
0.96,19.2,30.8,Buruk
7.6,18.5,30,Baik
7.3,18.9,29.5,Baik
7.7,19,29.7,Baik
7.2,18.9,29.3,Baik
8.2,19.9,30.3,Baik
7.39,19.8,29.6,Baik
7.4,19.9,29.8,Baik
7.4,19.5,29.6,Baik
7.1,19.3,29.4,Baik
7.2,19.2,29.3,Baik
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
7.83,19.5,30.8,Baik
7.24,18.9,30.4,Baik
7.87,18.9,30,Baik
7.79,19,30.2,Baik
"7,77",19.3,30.9,Baik
7.78,19.4,30.4,Baik
7.72,19.5,30.4,Baik
7.5,19.6,30.1,Baik
7.67,19.8,30.3,Baik
7.6,18.7,29.9,Baik
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
7.5,18.6,29.8,Baik
7.5,18.5,29,Baik
6.52,18.6,30.3,Buruk
7.16,18.7,30,Baik
7.56,18.8,31.4,Baik
7.15,18.9,30.3,Baik
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
0.98,19.67,30.4,Buruk
7.68,18.9,29.6,Baik
7.5,19.2,28.9,Baik
7.4,19,29.1,Baik
7.1,18.5,29.2,Baik
7.5,19,29.2,Baik
