Tanggal,pH air,salinitas air,suhu air
12/3/2023,7.4,18.8,29
12/5/2023,7.2,18.6,29
12/6/2023,7.5,18.9,29.3 
12/7/2023,7.7,19.1,30
12/11/2023,7.1,19.4,29.8
12/12/2023,7.8,19.5,30.2 
12/13/2023,7.5,19.2,30.1
12/14/2023,6.91,19.0,30.5
12/15/2023,7.3,19.1,30.0
12/16/2023,7.71,19.2,30.7
12/17/2023,7.72,19.3,30.7
12/18/2023,7.83,19.5,30.8
12/20/2023,7.24,18.9,30.4
12/21/2023,7.87,18.9,30
12/22/2023,7.79,19.0,30.2
12/23/2023,7.77,19.3,30.9
12/24/2023,7.78,19.4,30.4
12/25/2023,7.72,19.5,30.4
12/26/2023,7.5,19.6,30.1
12/27/2023,7.67,19.8,30.30
12/28/2023,7.6,18.7,29.9
12/29/2023,7.5,18.6,29.8
12/30/2023,7.5,18.5,29
12/31/2023,6.52,18.6,30.3
1/1/2024,7.16,18.7,30
1/2/2024,7.56,18.8,31.4
1/3/2024,7.15,18.9,30.3
1/4/2024,7.68,18.9,29.6
1/5/2024,7.50,19.2,28.9
1/6/2024,7.4,19.0,29.1
1/7/2024,7.1,18.5,29.2
1/8/2024,7.5,19.0,29.2
1/9/2024,7.6,18.5,30
1/10/2024,7.3,18.9,29.5
1/11/2024,7.7,19,29.7
1/12/2024,7.2,18.9,29.3
1/13/2024,8.2,19.9,30.3
1/14/2024,7.39,19.8,29.6
1/15/2024,7.4,19.9,29.8
1/16/2024,7.4,19.5,29.6
1/17/2024,7.1,19.3,29.4
1/18/2024,7.2,19.2,29.3
1/19/2024,7.4,19.3,28.9
1/20/2024,7.6,19.3,28.7
1/21/2024,7.4,19.2,29.2
1/22/2024,7.6,19.2,29.1
1/23/2024,7.5,19.6,29.5
1/24/2024,7.8,19.2,28.6
1/25/2024,7.6,19.3,29.4
1/26/2024,7.6,19.2,29.9
1/27/2024,7.7,19.1,29.8
1/28/2024,7.9,19.2,29.5
1/29/2024,7.8,19.2,28.7
1/30/2024,7.9,19.2,28.6
1/31/2024,7.8,19.2,28.6
2/1/2024,7.8,19.2,28.6
2/2/2024,7.9,18.5,29.0
2/3/2024,7.7,18.8,28.8
2/4/2024,8,18.8,29
2/5/2024,8,18.5,29.1
2/6/2024,8,18.5,29.3
2/7/2024,7.9,18.8,28.5
"2/8/2024,""7,.9"",18.5,29.0"
2/9/2024,7.8,18.5,29.0
2/10/2024,7.7,18.5,29.0
2/11/2024,7.8,18.6,28.8
2/12/2024,8.0,18.9,29.6
2/13/2024,8.0,18.8,29.5
2/14/2024,8.0,19,29.6
2/15/2024,8.0,19.1,29.6
2/16/2024,8.0,18.5,29.5
2/17/2024,8.0,18.3,29.5
2/18/2024,8.0,18.3,29.3
2/19/2024,8.0,18.4,29.2
2/20/2024,8.0,18.6,29.8
2/21/2024,8.0,18.8,30.3
2/22/2024,8.0,18.9,29.9
2/23/2024,8.0,18.9,29.6
2/24/2024,8.0,18.5,29.8
2/25/2024,8.0,18.2,29.5
2/26/2024,8.0,18.3,29.5
2/27/2024,8.0,18.3,29.7
2/28/2024,3.75,16.80,29.90
2/29/2024,2.87,16.24,28.90
30/02/2024,2.67,16.15,29.50
3/1/2024,2.90,16.05,29.30
3/2/2024,2.66,16.12,29.60
3/3/2024,2.50,16.10,29.20
3/4/2024,1.73,17.29,29.50
3/5/2024,2.45,17.08,29.80
3/6/2024,2.32,17.03,30.00
3/7/2024,1.86,17.10,29.50
3/8/2024,1.95,17.08,29.30
3/9/2024,1.59,17.15,29.20
3/10/2024,1.24,17.27,28.40
3/11/2024,1.37,17.50,28.90
3/12/2024,1.39,17.29,29.30
3/13/2024,1.45,17.45,29.50
3/14/2024,0.00,16.57,29.00
3/15/2024,0.63,18.90,28.80
3/16/2024,1.28,18.83,28.30
3/17/2024,1.28,18.81,28.20
3/18/2024,1.52,18.88,28.90
